customer_key,customer_id,first_name,last_name,gender,phone_number,email_address,street_address,city,state,zipcode,county,birthdate,age,is_active,loyalty_member,date_created,date_inactive
56,56,David,Brown,Male,297-555-7137,david220@fakemail.com,"3857 Circle Dr",Raleigh,NC,27616,Wake,1966-03-04,60,1,0,2021-08-23,NULL
57,57,James,Martin,Male,314-555-3242,james534@nachomail.net,"11271 Church St",Apex,NC,27502,Wake,1999-02-14,27,1,1,2019-07-21,NULL
58,58,Christopher,Kelly,Male,278-555-3581,kelly52@nachomail.net,"30759 Chestnut St",Cary,NC,27511,Wake,1960-07-01,65,1,0,2021-02-04,NULL
59,59,James,Williams,Male,316-555-5111,williamsjames576@nachomail.net,"22572 Maple Ave",Sanford,NC,27330,Lee,1959-06-21,66,1,0,2020-07-22,NULL
60,60,David,Martin,Male,387-555-4699,david422@notinbox.net,"59542 Washington St",Erwin,NC,28339,Harnett,1962-10-12,63,0,1,2024-12-25,2025-12-29
61,61,Matthew,Cooper,Male,297-555-8927,matthew203@fakemail.com,"45256 Washington St",Raleigh,NC,27615,Wake,2005-04-17,21,1,1,2021-10-05,NULL
62,62,Susan,Rodriguez,Female,487-555-6895,srodriguez238@fakeinbox.net,"50467 Park St",Morrisville,NC,27560,Wake,1990-10-19,35,1,0,2021-01-26,NULL
63,63,James,Hernandez,Male,483-555-2723,jhernandez477@offlinemail.com,"15335 Church St",Clayton,NC,27520,Johnston,2001-11-23,24,1,1,2021-01-25,NULL
64,64,Mary,Hernandez,Female,384-555-9502,hernandezmary476@fakemail.com,"66066 Maple Ave",Raleigh,NC,27606,Wake,1989-01-03,37,0,1,2025-04-30,2025-08-29
65,65,Patricia,Davis,Female,305-555-3212,pdavis487@fakeinbox.net,"23616 Laurel Rd",Raleigh,NC,27606,Wake,1959-08-05,66,0,0,2025-06-01,2025-10-06
66,66,William,Wilson,Male,480-555-8379,wwilson762@fakemail.com,"65045 Walnut Ave",Sanford,NC,27330,Lee,1990-10-05,35,1,0,2020-07-20,NULL
67,67,John,Lee,Male,302-555-6974,johnlee886@nachomail.net,"34263 Circle Dr",Clayton,NC,27520,Johnston,1995-05-06,31,1,0,2019-11-05,NULL
68,68,Karen,Carter,Female,462-555-5709,karen803@nachomail.net,"4198 Dogwood St",Fuquay-Varina,NC,27526,Wake,1953-09-14,72,1,0,2025-11-03,NULL
69,69,Randy,Thomas,Male,311-555-5160,thomasrandy717@offlinemail.com,"43951 Cedar Ln",Raleigh,NC,27607,Wake,1975-06-03,51,1,1,2021-08-01,NULL
70,70,Sarah,Brown,Female,424-555-5947,sarahbrown305@offlinemail.com,"10406 Main St",Fuquay-Varina,NC,27526,Wake,1990-01-15,36,0,1,2024-10-26,2026-03-20
71,71,Thomas,Brown,Male,268-555-3252,brown175@nachomail.net,"8138 Pine St",Angier,NC,27501,Harnett,1982-05-25,44,1,0,2024-01-29,NULL
72,72,Stephanie,Baker,Female,425-555-7809,baker450@notinbox.net,"11739 Main St",Fuquay-Varina,NC,27526,Wake,1945-03-29,81,1,1,2023-08-06,NULL
73,73,Charlotte,Cooper,Female,260-555-4502,cooper317@offlinemail.com,"25325 Laurel Rd",Lillington,NC,27546,Harnett,1946-02-13,80,1,1,2019-06-20,NULL
74,74,Jason,Taylor,Male,393-555-6045,taylorjason542@offlinemail.com,"83679 Lincoln Ave",Raleigh,NC,27606,Wake,1978-07-07,47,0,1,2021-07-29,2024-03-24
75,75,Daniel,Green,Male,439-555-8826,danielg291@offlinemail.com,"60160 Lakeview Dr",Durham,NC,27704,Durham,1993-12-09,32,1,1,2025-10-23,NULL
76,76,David,Lee,Male,263-555-9216,lee750@fakeinbox.net,"57954 Maple Ave",Garner,NC,27529,Wake,1996-12-30,29,0,1,2021-09-09,2026-02-13
77,77,Barbara,Adams,Female,390-555-4997,barbaraa379@offlinemail.com,"54874 Chestnut St",Lillington,NC,27546,Harnett,1945-05-10,81,0,1,2024-09-20,2024-12-03
78,78,Thomas,Bell,Male,281-555-4938,thomasbell301@notinbox.net,"58590 Shady Ln",Garner,NC,27529,Wake,1950-07-25,75,1,1,2025-03-19,NULL
79,79,Jessica,Lee,Female,377-555-7266,leejessica893@fakeinbox.net,"73125 Oak St",Raleigh,NC,27612,Wake,1990-04-14,36,1,1,2023-08-03,NULL
80,80,Barbara,Baker,Female,453-555-9218,bakerbarbara350@notinbox.net,"10116 Shady Ln",Morrisville,NC,27560,Wake,1968-06-06,58,1,0,2023-04-18,NULL
81,81,Florence,Johnson,Female,386-555-7388,florencej6@notinbox.net,"98571 Circle Dr",Cary,NC,27511,Wake,1963-01-07,63,1,1,2019-06-06,NULL
82,82,Florence,Garcia,Female,415-555-7268,garcia702@notinbox.net,"35718 Park St",Fuquay-Varina,NC,27526,Wake,1988-08-03,37,1,1,2022-10-22,NULL
83,83,David,Edwards,Male,349-555-7117,davidedwards955@notinbox.net,"73624 Pine St",Raleigh,NC,27607,Wake,1961-06-17,64,1,1,2022-03-16,NULL
84,84,Thomas,Wilson,Male,382-555-7946,twilson580@notinbox.net,"7056 Church St",Raleigh,NC,27604,Wake,1941-03-11,85,1,1,2023-08-06,NULL
85,85,Mary,Thomas,Female,237-555-3924,thomasmary391@fakemail.com,"97030 Lincoln Ave",Morrisville,NC,27560,Wake,1982-01-16,44,1,1,2025-02-02,NULL
86,86,Lisa,Johnson,Female,479-555-3561,ljohnson434@fakeinbox.net,"63573 State St",Cary,NC,27513,Wake,1945-12-18,80,1,0,2021-02-12,NULL
87,87,David,Cooper,Male,266-555-1160,davidc896@notinbox.net,"42385 Washington St",Dunn,NC,28334,Harnett,1971-05-08,55,1,1,2025-11-08,NULL
88,88,Jessica,Johnson,Female,458-555-3163,jessicajohnson895@fakemail.com,"90029 Lakeview Dr",Broadway,NC,27505,Harnett,1975-02-24,51,1,1,2025-02-08,NULL
89,89,William,Carter,Male,352-555-4575,wcarter17@fakemail.com,"86553 Circle Dr",Durham,NC,27701,Durham,2004-08-03,21,1,0,2021-09-11,NULL
90,90,Barbara,Davis,Female,477-555-3362,barbarad335@notinbox.net,"57718 Lincoln Ave",Morrisville,NC,27560,Wake,1978-04-29,48,0,1,2024-12-27,2025-12-18
91,91,Liam,Clark,Male,484-555-8402,liamc563@offlinemail.com,"86216 Maple Ave",Morrisville,NC,27560,Wake,1964-10-20,61,1,1,2023-01-10,NULL
92,92,Jessica,Bell,Female,270-555-2701,jessicabell592@fakeinbox.net,"65631 Jefferson St",Garner,NC,27529,Wake,2004-11-20,21,1,0,2024-08-02,NULL
93,93,Patricia,White,Female,409-555-4410,whitepatricia670@notinbox.net,"12834 Central Ave",Angier,NC,27501,Harnett,1976-10-28,49,1,1,2020-04-23,NULL
94,94,Elizabeth,Edwards,Female,463-555-7133,edwardselizabeth738@offlinemail.com,"66136 Spruce Ln",Clayton,NC,27520,Johnston,1978-09-29,47,0,0,2024-07-06,2025-03-02
95,95,Susan,Lopez,Female,310-555-2396,lopezsusan993@fakeinbox.net,"8200 Lakeview Dr",Erwin,NC,28339,Harnett,1961-12-11,64,1,0,2022-03-04,NULL
96,96,Karen,Clark,Female,471-555-4130,karenc879@notinbox.net,"12516 Church St","Holly Springs",NC,27540,Wake,1969-03-28,57,1,1,2021-11-14,NULL
97,97,Lisa,Adams,Female,206-555-3768,lisa121@fakeinbox.net,"15582 Pine St",Clayton,NC,27520,Johnston,1951-01-26,75,1,1,2023-11-01,NULL
98,98,Luna,White,Female,251-555-6703,lwhite443@fakemail.com,"79872 Spruce Ln",Raleigh,NC,27614,Wake,1988-07-18,37,1,1,2020-01-02,NULL
99,99,Charlotte,White,Female,392-555-5046,charlottewhite231@offlinemail.com,"31949 Elm St",Cary,NC,27511,Wake,2000-08-02,25,1,0,2024-01-24,NULL
100,100,John,Jones,Male,263-555-9985,jones370@fakemail.com,"81495 Church St",Broadway,NC,27505,Harnett,1981-10-06,44,1,1,2019-06-29,NULL
101,101,Richard,Taylor,Male,289-555-6756,taylor713@fakemail.com,"87380 Church St",Garner,NC,27529,Wake,1992-10-23,33,1,1,2020-10-22,NULL
102,102,Jennifer,Jones,Female,344-555-1770,jenniferjones201@fakeinbox.net,"90145 Walnut Ave",Raleigh,NC,27606,Wake,1967-01-06,59,1,0,2019-04-18,NULL
103,103,Matthew,Miller,Male,275-555-1492,matthewmiller809@notinbox.net,"21690 Lincoln Ave",Raleigh,NC,27606,Wake,1956-11-05,69,0,1,2021-04-26,2024-03-29
104,104,Barbara,Rodriguez,Female,236-555-6782,barbara853@fakemail.com,"58059 Maple Ave",Sanford,NC,27330,Lee,1992-02-27,34,1,1,2020-02-12,NULL
105,105,Matthew,Clark,Male,452-555-3290,matthewc257@nachomail.net,"99094 Laurel Rd",Morrisville,NC,27560,Wake,1940-02-22,86,1,0,2021-12-01,NULL
106,106,Lisa,Davis,Female,467-555-8930,davislisa216@notinbox.net,"45064 State St",Dunn,NC,28334,Harnett,1967-09-22,58,0,0,2021-04-26,2025-06-22
107,107,Florence,Bell,Female,215-555-4813,bell41@offlinemail.com,"41742 Circle Dr",Sanford,NC,27330,Lee,1986-02-25,40,1,1,2022-10-26,NULL
108,108,John,Clark,Male,220-555-1320,clarkjohn278@fakemail.com,"50721 Maple Ave",Durham,NC,27701,Durham,1964-07-29,61,1,1,2026-03-06,NULL
109,109,Barbara,Carter,Female,295-555-7703,bcarter503@fakemail.com,"90025 Magnolia Rd",Broadway,NC,27505,Harnett,1948-07-09,77,1,0,2021-08-13,NULL
110,110,Stephanie,Green,Female,446-555-3150,stephaniegreen439@offlinemail.com,"57555 Washington St",Angier,NC,27501,Harnett,1946-05-15,80,1,1,2025-02-04,NULL
111,111,Michael,Hernandez,Male,260-555-3160,mhernandez799@fakemail.com,"56421 Jefferson St",Apex,NC,27502,Wake,1970-01-23,56,1,0,2019-10-21,NULL
112,112,Lisa,Hill,Female,208-555-1080,hill438@notinbox.net,"38893 Circle Dr",Durham,NC,27701,Durham,1973-02-18,53,1,1,2019-04-10,NULL
113,113,Daniel,James,Male,320-555-9733,jamesdaniel474@offlinemail.com,"38691 Laurel Rd",Durham,NC,27701,Durham,1981-05-05,45,1,0,2025-03-23,NULL
114,114,David,Davis,Male,342-555-2015,davis947@notinbox.net,"19494 State St","Holly Springs",NC,27540,Wake,1960-02-20,66,1,1,2020-03-20,NULL
115,115,Joseph,Garcia,Male,412-555-2506,garciajoseph830@offlinemail.com,"79329 Washington St",Raleigh,NC,27607,Wake,1954-09-15,71,0,0,2023-08-20,2024-09-26
116,116,Robert,Lopez,Male,391-555-6265,lopez239@fakeinbox.net,"41907 State St",Raleigh,NC,27614,Wake,2003-03-10,23,1,0,2025-01-28,NULL
117,117,Charlotte,Jones,Female,280-555-3089,charlottej605@notinbox.net,"3086 Shady Ln",Raleigh,NC,27601,Wake,1976-08-04,49,1,1,2021-09-21,NULL
118,118,Christopher,Anderson,Male,305-555-1417,canderson97@fakeinbox.net,"86622 Shady Ln","Holly Springs",NC,27540,Wake,1981-01-28,45,0,1,2020-09-03,2023-11-16
119,119,Jessica,Baker,Female,449-555-2174,baker206@offlinemail.com,"12969 Shady Ln",Raleigh,NC,27615,Wake,1995-05-27,31,1,0,2024-02-19,NULL
120,120,John,Davis,Male,380-555-8420,johndavis677@fakemail.com,"70663 Laurel Rd",Cary,NC,27513,Wake,1954-06-26,71,1,1,2022-02-20,NULL
121,121,Patricia,Martin,Female,460-555-2847,martinpatricia687@fakemail.com,"97932 Washington St",Cary,NC,27513,Wake,1995-12-11,30,1,0,2019-04-16,NULL
122,122,Randy,Williams,Male,397-555-5210,randyw875@nachomail.net,"61390 Magnolia Rd",Raleigh,NC,27607,Wake,1946-03-13,80,1,0,2025-07-25,NULL
123,123,Christopher,Brown,Male,214-555-8660,christopherbrown499@offlinemail.com,"78736 Central Ave",Broadway,NC,27505,Harnett,1957-03-25,69,1,0,2021-11-12,NULL
124,124,Liam,Johnson,Male,473-555-8357,liamjohnson979@offlinemail.com,"97327 Cedar Ln",Sanford,NC,27330,Lee,1984-03-01,42,1,1,2020-11-28,NULL
125,125,Randy,Kelly,Male,338-555-2455,randykelly898@notinbox.net,"95044 Cardinal Ave",Durham,NC,27701,Durham,2004-12-17,21,1,1,2019-12-13,NULL
126,126,Stephanie,Bell,Female,210-555-8230,bell269@fakeinbox.net,"8140 Dogwood St",Durham,NC,27704,Durham,1953-09-10,72,0,1,2020-09-27,2024-02-03
127,127,Elizabeth,Taylor,Female,496-555-1806,elizabetht303@nachomail.net,"89542 Hummingbird Dr",Raleigh,NC,27604,Wake,1950-12-29,75,1,1,2025-09-22,NULL
128,128,Florence,Anderson,Female,480-555-7478,andersonflorence572@fakeinbox.net,"69539 Elm St",Erwin,NC,28339,Harnett,2001-09-19,24,0,1,2022-09-01,2023-10-15
129,129,Florence,James,Female,281-555-8841,florencej109@fakeinbox.net,"71015 Maple Ave",Raleigh,NC,27601,Wake,1959-04-20,67,1,1,2021-11-27,NULL
130,130,Mary,Green,Female,263-555-4528,mary238@fakemail.com,"49158 Pine St",Raleigh,NC,27616,Wake,1986-07-14,39,0,1,2024-11-06,2025-11-27
131,131,Jessica,Miller,Female,380-555-1944,jessica748@fakeinbox.net,"8082 Washington St",Dunn,NC,28334,Harnett,1971-11-25,54,0,0,2022-09-12,2025-05-12
132,132,Jason,Martinez,Male,265-555-7661,jasonmartinez648@notinbox.net,"6083 Magnolia Rd","Holly Springs",NC,27540,Wake,1991-01-07,35,0,1,2019-12-06,2023-02-26
133,133,Susan,Miller,Female,247-555-2551,susan319@fakemail.com,"31682 Cedar Ln",Erwin,NC,28339,Harnett,1958-11-14,67,1,0,2021-10-22,NULL
134,134,Richard,Adams,Male,391-555-6145,adams555@fakemail.com,"93864 Elm St",Raleigh,NC,27612,Wake,1984-04-11,42,1,1,2019-03-10,NULL
135,135,Richard,Lee,Male,409-555-3502,richardl51@nachomail.net,"42746 Hummingbird Dr",Cary,NC,27513,Wake,1984-10-07,41,1,1,2026-01-21,NULL
136,136,Matthew,Williams,Male,486-555-6135,mwilliams453@fakemail.com,"70782 Birch St",Garner,NC,27529,Wake,1983-11-23,42,1,0,2024-08-17,NULL
137,137,Thomas,Garcia,Male,285-555-9669,thomasgarcia404@offlinemail.com,"52987 Lincoln Ave",Raleigh,NC,27607,Wake,1957-11-27,68,1,1,2025-12-21,NULL
138,138,William,Anderson,Male,344-555-7053,williamanderson913@fakemail.com,"4512 Maple Ave",Raleigh,NC,27606,Wake,1951-02-20,75,0,1,2019-10-30,2021-10-31
139,139,Luna,Lee,Female,368-555-1182,luna551@offlinemail.com,"9497 Church St",Clayton,NC,27520,Johnston,1985-04-30,41,1,1,2022-07-01,NULL
140,140,Liam,James,Male,487-555-4805,liamjames129@fakeinbox.net,"9397 Pine St",Morrisville,NC,27560,Wake,1942-01-23,84,1,1,2026-03-15,NULL
141,141,Christopher,Wilson,Male,326-555-1150,wilson955@offlinemail.com,"15560 Church St",Lillington,NC,27546,Harnett,1990-12-03,35,1,1,2022-09-12,NULL
142,142,Charles,Hill,Male,424-555-4382,hillcharles980@fakemail.com,"38895 Jefferson St",Durham,NC,27701,Durham,1985-05-09,41,1,1,2023-02-22,NULL
143,143,Christopher,James,Male,397-555-2559,cjames766@fakemail.com,"42258 Lakeview Dr",Raleigh,NC,27604,Wake,2003-08-08,22,1,0,2021-05-11,NULL
144,144,Florence,Brown,Female,472-555-2916,brown831@fakeinbox.net,"70275 Cardinal Ave",Raleigh,NC,27604,Wake,1973-04-02,53,0,1,2020-05-09,2020-07-13
145,145,Richard,Clark,Male,414-555-4317,clarkrichard271@fakemail.com,"9902 Jefferson St",Raleigh,NC,27607,Wake,1974-05-20,52,1,0,2023-03-31,NULL
146,146,Andrew,Wilson,Male,404-555-9659,andreww150@notinbox.net,"12729 Oak St",Sanford,NC,27330,Lee,1979-08-23,46,1,0,2020-05-04,NULL
147,147,Elizabeth,Miller,Female,310-555-7128,millerelizabeth520@notinbox.net,"17570 Park St",Raleigh,NC,27615,Wake,2005-09-27,20,1,1,2020-03-26,NULL
148,148,Jessica,Hill,Female,256-555-6105,jessica704@nachomail.net,"3502 Chestnut St",Raleigh,NC,27612,Wake,1994-07-29,31,1,0,2021-02-22,NULL
149,149,Patricia,Hernandez,Female,412-555-6057,phernandez475@offlinemail.com,"5435 Laurel Rd",Dunn,NC,28334,Harnett,1997-04-28,29,1,1,2026-01-08,NULL
150,150,Daniel,James,Male,206-555-4538,daniel408@nachomail.net,"44088 Dogwood St",Garner,NC,27529,Wake,1966-01-30,60,1,0,2025-11-09,NULL
151,151,Matthew,Johnson,Male,283-555-3674,mjohnson418@offlinemail.com,"26619 Circle Dr",Raleigh,NC,27604,Wake,1945-06-15,80,0,1,2023-04-13,2023-12-09
152,152,Charlotte,Cooper,Female,378-555-6689,charlottecooper837@offlinemail.com,"60189 Shady Ln",Durham,NC,27701,Durham,1964-06-18,61,1,1,2020-11-24,NULL
153,153,David,Hernandez,Male,462-555-9223,davidh350@fakemail.com,"76367 Birch St",Durham,NC,27701,Durham,1990-09-21,35,0,0,2021-10-16,2021-10-21
154,154,Luna,Bell,Female,315-555-8952,lunab619@fakemail.com,"46175 Chestnut St",Broadway,NC,27505,Harnett,1943-12-15,82,1,1,2022-06-08,NULL
155,155,Charlotte,Hill,Female,361-555-2239,hill172@offlinemail.com,"9905 Hummingbird Dr",Durham,NC,27704,Durham,1946-10-05,79,1,0,2024-11-14,NULL
156,156,Charlotte,Taylor,Female,331-555-4282,taylor301@fakeinbox.net,"69346 Oak St",Cary,NC,27513,Wake,1952-06-14,73,1,1,2023-07-03,NULL
157,157,Joseph,Taylor,Male,429-555-8915,taylor237@fakeinbox.net,"7942 Pine St",Raleigh,NC,27612,Wake,1993-02-04,33,0,1,2020-02-10,2022-04-27
158,158,Stephanie,Cooper,Female,205-555-2744,stephanie615@nachomail.net,"73258 Maple Ave",Raleigh,NC,27604,Wake,1944-03-27,82,1,1,2022-09-21,NULL
