"customer_id","first_name","last_name","gender","phone_number","email","address","city","state","zipcode","county","dob","is_active","loyalty_member","date_created","date_inactive","date_updated"
"25","Stephanie","Bell","F","308-555-6328","stephanieb111@offlinemail.com","32650 Pine St","Raleigh","NC","27606","Wake","1997-05-02","1","0","2023-07-22 00:00:00",\N,"2026-04-21 16:33:26"
"26","Charlotte","Williams","F","292-555-7654","charlottew778@offlinemail.com","57178 Church St","Durham","NC","27701","Durham","1949-10-16","1","1","2021-12-26 00:00:00",\N,"2026-04-21 16:33:26"
"27","Thomas","Clark","M","485-555-9581","tclark48@fakeinbox.net","91058 Washington St","Apex","NC","27502","Wake","1990-02-28","1","0","2020-04-02 00:00:00",\N,"2026-04-21 16:32:41"
"28","Florence","White","F","462-555-1928","whiteflorence312@nachomail.net","96686 Circle Dr","Durham","NC","27701","Durham","2004-09-03","0","1","2022-09-20 00:00:00","2024-03-06 00:00:00","2026-04-21 16:33:26"
"29","Nancy","Allen","F","256-555-4876","nancyallen486@nachomail.net","46926 Birch St","Garner","NC","27529","Wake","2000-08-20","1","1","2023-08-14 00:00:00",\N,"2026-04-21 16:33:26"
"30","Michael","Wilson","M","230-555-4191","wilsonmichael655@notinbox.net","53472 Shady Ln","Durham","NC","27704","Durham","1975-08-18","1","0","2021-01-22 00:00:00",\N,"2026-04-21 16:32:41"
"31","Michael","Martin","M","224-555-9152","martin859@fakeinbox.net","20264 Jefferson St","Raleigh","NC","27614","Wake","1970-05-28","0","0","2020-04-13 00:00:00","2023-09-30 00:00:00","2026-04-21 16:32:41"
"32","Daniel","Smith","M","465-555-9231","danielsmith262@fakeinbox.net","51735 Magnolia Rd","Erwin","NC","28339","Harnett","1971-03-26","0","0","2021-07-10 00:00:00","2024-08-30 00:00:00","2026-04-21 16:32:41"
"33","Mary","Hernandez","F","209-555-3319","maryhernandez758@nachomail.net","22633 Washington St","Raleigh","NC","27614","Wake","1967-08-16","1","1","2026-03-15 00:00:00",\N,"2026-04-21 16:33:26"
"34","Sarah","Johnson","F","226-555-9631","johnsonsarah352@fakeinbox.net","45373 Maple Ave","Raleigh","NC","27607","Wake","1983-11-20","1","1","2025-02-02 00:00:00",\N,"2026-04-21 16:33:26"
"35","Barbara","Martinez","F","347-555-6420","bmartinez300@notinbox.net","84337 Circle Dr","Garner","NC","27529","Wake","1979-09-26","1","0","2020-07-28 00:00:00",\N,"2026-04-21 16:33:26"
"36","David","Williams","M","315-555-5469","david889@nachomail.net","48131 Main St","Dunn","NC","28334","Harnett","1957-08-21","1","1","2023-02-19 00:00:00",\N,"2026-04-21 16:32:41"
"37","Jennifer","Wilson","F","354-555-6996","jennifer791@fakeinbox.net","56853 Park St","Morrisville","NC","27560","Wake","1946-03-19","1","0","2020-05-28 00:00:00",\N,"2026-04-21 16:33:26"
"38","Joseph","Lopez","M","398-555-5850","joseph765@nachomail.net","93509 Maple Ave","Garner","NC","27529","Wake","1978-07-15","1","1","2020-11-24 00:00:00",\N,"2026-04-21 16:32:41"
"39","Andrew","Edwards","M","448-555-7664","edwards569@fakemail.com","54446 Cedar Ln","Cary","NC","27513","Wake","1991-05-06","0","1","2020-06-30 00:00:00","2023-10-06 00:00:00","2026-04-21 16:32:41"
"40","Charlotte","Allen","F","393-555-5233","allen438@notinbox.net","23191 Shady Ln","Raleigh","NC","27604","Wake","1995-05-24","1","1","2025-02-10 00:00:00",\N,"2026-04-21 16:33:26"
"41","Charles","Miller","M","322-555-6974","charlesm475@nachomail.net","54500 Dogwood St","Apex","NC","27502","Wake","1992-03-31","1","0","2019-03-16 00:00:00",\N,"2026-04-21 16:32:41"
"42","Patricia","Brown","F","255-555-2900","pbrown325@fakeinbox.net","80696 Oak St","Raleigh","NC","27601","Wake","1948-08-02","1","0","2023-07-01 00:00:00",\N,"2026-04-21 16:33:26"
"43","Barbara","Edwards","F","206-555-5636","barbaraedwards122@fakemail.com","77478 Chestnut St","Raleigh","NC","27614","Wake","1986-10-16","1","0","2019-01-22 00:00:00",\N,"2026-04-21 16:33:26"
"44","Jessica","Adams","F","360-555-3770","jessicaa246@nachomail.net","63663 Circle Dr","Dunn","NC","28334","Harnett","1981-05-24","0","1","2026-03-07 00:00:00","2026-04-09 00:00:00","2026-04-21 16:33:26"
"45","Andrew","Edwards","M","383-555-3658","andrewedwards69@offlinemail.com","19614 Main St","Holly Springs","NC","27540","Wake","1973-01-31","0","1","2021-04-25 00:00:00","2023-11-27 00:00:00","2026-04-21 16:32:41"
"46","Thomas","Brown","M","473-555-8893","brown72@notinbox.net","84380 Maple Ave","Angier","NC","27501","Harnett","1997-10-11","1","0","2025-09-02 00:00:00",\N,"2026-04-21 16:32:41"
"47","Jessica","Davis","F","287-555-3156","jessicadavis996@nachomail.net","72147 Oak St","Sanford","NC","27330","Lee","1999-01-04","0","0","2023-08-01 00:00:00","2023-10-15 00:00:00","2026-04-21 16:33:26"
"48","Jason","Carter","M","315-555-7536","carterjason183@offlinemail.com","61070 Maple Ave","Garner","NC","27529","Wake","1989-05-18","1","1","2024-08-20 00:00:00",\N,"2026-04-21 16:32:41"
"49","Andrew","Clark","M","230-555-7787","andrewclark260@nachomail.net","44376 Oak St","Raleigh","NC","27616","Wake","1982-04-05","0","1","2020-05-31 00:00:00","2025-03-12 00:00:00","2026-04-21 16:32:41"
"50","Richard","Hernandez","M","304-555-2479","hernandezrichard222@fakeinbox.net","76007 Spruce Ln","Sanford","NC","27330","Lee","1994-12-22","0","1","2019-08-04 00:00:00","2025-03-28 00:00:00","2026-04-21 16:32:41"
"51","James","Williams","M","429-555-2786","jamesw372@fakeinbox.net","71160 Walnut Ave","Raleigh","NC","27607","Wake","1988-05-12","1","1","2025-02-21 00:00:00",\N,"2026-04-21 16:32:41"
"52","Liam","Lopez","M","269-555-8909","liamlopez585@nachomail.net","44135 Dogwood St","Durham","NC","27704","Durham","1985-12-02","1","1","2025-01-17 00:00:00",\N,"2026-04-21 16:32:41"
"53","Charles","Adams","M","208-555-9347","adams906@notinbox.net","4537 Maple Ave","Morrisville","NC","27560","Wake","1952-10-24","1","0","2023-07-15 00:00:00",\N,"2026-04-21 16:32:41"
"54","Robert","Kelly","M","385-555-9625","kelly54@offlinemail.com","3313 Pine St","Raleigh","NC","27616","Wake","1988-06-17","1","0","2023-07-15 00:00:00",\N,"2026-04-21 16:32:41"
"55","John","Adams","M","229-555-9156","jadams715@nachomail.net","60745 Shady Ln","Raleigh","NC","27615","Wake","1975-11-14","1","0","2020-10-18 00:00:00",\N,"2026-04-21 16:32:41"
"56","David","Brown","M","297-555-7137","david220@fakemail.com","3857 Circle Dr","Raleigh","NC","27616","Wake","1966-03-04","1","0","2021-08-23 00:00:00",\N,"2026-04-21 16:32:41"
"57","James","Martin","M","314-555-3242","james534@nachomail.net","11271 Church St","Apex","NC","27502","Wake","1999-02-14","1","1","2019-07-21 00:00:00",\N,"2026-04-21 16:32:41"
"58","Christopher","Kelly","M","278-555-3581","kelly52@nachomail.net","30759 Chestnut St","Cary","NC","27511","Wake","1960-07-01","1","0","2021-02-04 00:00:00",\N,"2026-04-21 16:32:41"
"59","James","Williams","M","316-555-5111","williamsjames576@nachomail.net","22572 Maple Ave","Sanford","NC","27330","Lee","1959-06-21","1","0","2020-07-22 00:00:00",\N,"2026-04-21 16:32:41"
"60","David","Martin","M","387-555-4699","david422@notinbox.net","59542 Washington St","Erwin","NC","28339","Harnett","1962-10-12","0","1","2024-12-25 00:00:00","2025-12-29 00:00:00","2026-04-21 16:32:41"
"61","Matthew","Cooper","M","297-555-8927","matthew203@fakemail.com","45256 Washington St","Raleigh","NC","27615","Wake","2005-04-17","1","1","2021-10-05 00:00:00",\N,"2026-04-21 16:32:41"
"62","Susan","Rodriguez","F","487-555-6895","srodriguez238@fakeinbox.net","50467 Park St","Morrisville","NC","27560","Wake","1990-10-19","1","0","2021-01-26 00:00:00",\N,"2026-04-21 16:33:26"
"63","James","Hernandez","M","483-555-2723","jhernandez477@offlinemail.com","15335 Church St","Clayton","NC","27520","Johnston","2001-11-23","1","1","2021-01-25 00:00:00",\N,"2026-04-21 16:32:41"
"64","Mary","Hernandez","F","384-555-9502","hernandezmary476@fakemail.com","66066 Maple Ave","Raleigh","NC","27606","Wake","1989-01-03","0","1","2025-04-30 00:00:00","2025-08-29 00:00:00","2026-04-21 16:33:26"
"65","Patricia","Davis","F","305-555-3212","pdavis487@fakeinbox.net","23616 Laurel Rd","Raleigh","NC","27606","Wake","1959-08-05","0","0","2025-06-01 00:00:00","2025-10-06 00:00:00","2026-04-21 16:33:26"
"66","William","Wilson","M","480-555-8379","wwilson762@fakemail.com","65045 Walnut Ave","Sanford","NC","27330","Lee","1990-10-05","1","0","2020-07-20 00:00:00",\N,"2026-04-21 16:33:50"
"67","John","Lee","M","302-555-6974","johnlee886@nachomail.net","34263 Circle Dr","Clayton","NC","27520","Johnston","1995-05-06","1","0","2019-11-05 00:00:00",\N,"2026-04-21 16:32:41"
"68","Karen","Carter","F","462-555-5709","karen803@nachomail.net","4198 Dogwood St","Fuquay-Varina","NC","27526","Wake","1953-09-14","1","0","2025-11-03 00:00:00",\N,"2026-04-21 16:33:26"
"69","Randy","Thomas","M","311-555-5160","thomasrandy717@offlinemail.com","43951 Cedar Ln","Raleigh","NC","27607","Wake","1975-06-03","1","1","2021-08-01 00:00:00",\N,"2026-04-21 16:32:41"
"70","Sarah","Brown","F","424-555-5947","sarahbrown305@offlinemail.com","10406 Main St","Fuquay-Varina","NC","27526","Wake","1990-01-15","0","1","2024-10-26 00:00:00","2026-03-20 00:00:00","2026-04-21 16:33:26"
"71","Thomas","Brown","M","268-555-3252","brown175@nachomail.net","8138 Pine St","Angier","NC","27501","Harnett","1982-05-25","1","0","2024-01-29 00:00:00",\N,"2026-04-21 16:32:41"
"72","Stephanie","Baker","F","425-555-7809","baker450@notinbox.net","11739 Main St","Fuquay-Varina","NC","27526","Wake","1945-03-29","1","1","2023-08-06 00:00:00",\N,"2026-04-21 16:33:26"
"73","Charlotte","Cooper","F","260-555-4502","cooper317@offlinemail.com","25325 Laurel Rd","Lillington","NC","27546","Harnett","1946-02-13","1","1","2019-06-20 00:00:00",\N,"2026-04-21 16:33:26"
"74","Jason","Taylor","M","393-555-6045","taylorjason542@offlinemail.com","83679 Lincoln Ave","Raleigh","NC","27606","Wake","1978-07-07","0","1","2021-07-29 00:00:00","2024-03-24 00:00:00","2026-04-21 16:32:41"
"75","Daniel","Green","M","439-555-8826","danielg291@offlinemail.com","60160 Lakeview Dr","Durham","NC","27704","Durham","1993-12-09","1","1","2025-10-23 00:00:00",\N,"2026-04-21 16:32:41"
"76","David","Lee","M","263-555-9216","lee750@fakeinbox.net","57954 Maple Ave","Garner","NC","27529","Wake","1996-12-30","0","1","2021-09-09 00:00:00","2026-02-13 00:00:00","2026-04-21 16:32:41"
"77","Barbara","Adams","F","390-555-4997","barbaraa379@offlinemail.com","54874 Chestnut St","Lillington","NC","27546","Harnett","1945-05-10","0","1","2024-09-20 00:00:00","2024-12-03 00:00:00","2026-04-21 16:33:26"
"78","Thomas","Bell","M","281-555-4938","thomasbell301@notinbox.net","58590 Shady Ln","Garner","NC","27529","Wake","1950-07-25","1","1","2025-03-19 00:00:00",\N,"2026-04-21 16:32:41"
"79","Jessica","Lee","F","377-555-7266","leejessica893@fakeinbox.net","73125 Oak St","Raleigh","NC","27612","Wake","1990-04-14","1","1","2023-08-03 00:00:00",\N,"2026-04-21 16:33:26"
"80","Barbara","Baker","F","453-555-9218","bakerbarbara350@notinbox.net","10116 Shady Ln","Morrisville","NC","27560","Wake","1968-06-06","1","0","2023-04-18 00:00:00",\N,"2026-04-21 16:33:26"
"81","Florence","Johnson","F","386-555-7388","florencej6@notinbox.net","98571 Circle Dr","Cary","NC","27511","Wake","1963-01-07","1","1","2019-06-06 00:00:00",\N,"2026-04-21 16:33:26"
"82","Florence","Garcia","F","415-555-7268","garcia702@notinbox.net","35718 Park St","Fuquay-Varina","NC","27526","Wake","1988-08-03","1","1","2022-10-22 00:00:00",\N,"2026-04-21 16:33:26"
"83","David","Edwards","M","349-555-7117","davidedwards955@notinbox.net","73624 Pine St","Raleigh","NC","27607","Wake","1961-06-17","1","1","2022-03-16 00:00:00",\N,"2026-04-21 16:32:41"
"84","Thomas","Wilson","M","382-555-7946","twilson580@notinbox.net","7056 Church St","Raleigh","NC","27604","Wake","1941-03-11","1","1","2023-08-06 00:00:00",\N,"2026-04-21 16:32:41"
"85","Mary","Thomas","F","237-555-3924","thomasmary391@fakemail.com","97030 Lincoln Ave","Morrisville","NC","27560","Wake","1982-01-16","1","1","2025-02-02 00:00:00",\N,"2026-04-21 16:33:26"
"86","Lisa","Johnson","F","479-555-3561","ljohnson434@fakeinbox.net","63573 State St","Cary","NC","27513","Wake","1945-12-18","1","0","2021-02-12 00:00:00",\N,"2026-04-21 16:33:26"
"87","David","Cooper","M","266-555-1160","davidc896@notinbox.net","42385 Washington St","Dunn","NC","28334","Harnett","1971-05-08","1","1","2025-11-08 00:00:00",\N,"2026-04-21 16:32:41"
"88","Jessica","Johnson","F","458-555-3163","jessicajohnson895@fakemail.com","90029 Lakeview Dr","Broadway","NC","27505","Harnett","1975-02-24","1","1","2025-02-08 00:00:00",\N,"2026-04-21 16:33:26"
"89","William","Carter","M","352-555-4575","wcarter17@fakemail.com","86553 Circle Dr","Durham","NC","27701","Durham","2004-08-03","1","0","2021-09-11 00:00:00",\N,"2026-04-21 16:33:50"
"90","Barbara","Davis","F","477-555-3362","barbarad335@notinbox.net","57718 Lincoln Ave","Morrisville","NC","27560","Wake","1978-04-29","0","1","2024-12-27 00:00:00","2025-12-18 00:00:00","2026-04-21 16:33:26"
"91","Liam","Clark","M","484-555-8402","liamc563@offlinemail.com","86216 Maple Ave","Morrisville","NC","27560","Wake","1964-10-20","1","1","2023-01-10 00:00:00",\N,"2026-04-21 16:32:41"
"92","Jessica","Bell","F","270-555-2701","jessicabell592@fakeinbox.net","65631 Jefferson St","Garner","NC","27529","Wake","2004-11-20","1","0","2024-08-02 00:00:00",\N,"2026-04-21 16:33:26"
"93","Patricia","White","F","409-555-4410","whitepatricia670@notinbox.net","12834 Central Ave","Angier","NC","27501","Harnett","1976-10-28","1","1","2020-04-23 00:00:00",\N,"2026-04-21 16:33:26"
"94","Elizabeth","Edwards","F","463-555-7133","edwardselizabeth738@offlinemail.com","66136 Spruce Ln","Clayton","NC","27520","Johnston","1978-09-29","0","0","2024-07-06 00:00:00","2025-03-02 00:00:00","2026-04-21 16:33:26"
"95","Susan","Lopez","F","310-555-2396","lopezsusan993@fakeinbox.net","8200 Lakeview Dr","Erwin","NC","28339","Harnett","1961-12-11","1","0","2022-03-04 00:00:00",\N,"2026-04-21 16:33:26"
"96","Karen","Clark","F","471-555-4130","karenc879@notinbox.net","12516 Church St","Holly Springs","NC","27540","Wake","1969-03-28","1","1","2021-11-14 00:00:00",\N,"2026-04-21 16:33:26"
"97","Lisa","Adams","F","206-555-3768","lisa121@fakeinbox.net","15582 Pine St","Clayton","NC","27520","Johnston","1951-01-26","1","1","2023-11-01 00:00:00",\N,"2026-04-21 16:33:26"
"98","Luna","White","F","251-555-6703","lwhite443@fakemail.com","79872 Spruce Ln","Raleigh","NC","27614","Wake","1988-07-18","1","1","2020-01-02 00:00:00",\N,"2026-04-21 16:33:26"
"99","Charlotte","White","F","392-555-5046","charlottewhite231@offlinemail.com","31949 Elm St","Cary","NC","27511","Wake","2000-08-02","1","0","2024-01-24 00:00:00",\N,"2026-04-21 16:33:26"
"100","John","Jones","M","263-555-9985","jones370@fakemail.com","81495 Church St","Broadway","NC","27505","Harnett","1981-10-06","1","1","2019-06-29 00:00:00",\N,"2026-04-21 16:32:41"
"101","Richard","Taylor","M","289-555-6756","taylor713@fakemail.com","87380 Church St","Garner","NC","27529","Wake","1992-10-23","1","1","2020-10-22 00:00:00",\N,"2026-04-21 16:32:41"
"102","Jennifer","Jones","F","344-555-1770","jenniferjones201@fakeinbox.net","90145 Walnut Ave","Raleigh","NC","27606","Wake","1967-01-06","1","0","2019-04-18 00:00:00",\N,"2026-04-21 16:33:26"
"103","Matthew","Miller","M","275-555-1492","matthewmiller809@notinbox.net","21690 Lincoln Ave","Raleigh","NC","27606","Wake","1956-11-05","0","1","2021-04-26 00:00:00","2024-03-29 00:00:00","2026-04-21 16:32:41"
"104","Barbara","Rodriguez","F","236-555-6782","barbara853@fakemail.com","58059 Maple Ave","Sanford","NC","27330","Lee","1992-02-27","1","1","2020-02-12 00:00:00",\N,"2026-04-21 16:33:26"
"105","Matthew","Clark","M","452-555-3290","matthewc257@nachomail.net","99094 Laurel Rd","Morrisville","NC","27560","Wake","1940-02-22","1","0","2021-12-01 00:00:00",\N,"2026-04-21 16:32:41"
"106","Lisa","Davis","F","467-555-8930","davislisa216@notinbox.net","45064 State St","Dunn","NC","28334","Harnett","1967-09-22","0","0","2021-04-26 00:00:00","2025-06-22 00:00:00","2026-04-21 16:33:26"
"107","Florence","Bell","F","215-555-4813","bell41@offlinemail.com","41742 Circle Dr","Sanford","NC","27330","Lee","1986-02-25","1","1","2022-10-26 00:00:00",\N,"2026-04-21 16:33:26"
"108","John","Clark","M","220-555-1320","clarkjohn278@fakemail.com","50721 Maple Ave","Durham","NC","27701","Durham","1964-07-29","1","1","2026-03-06 00:00:00",\N,"2026-04-21 16:32:41"
"109","Barbara","Carter","F","295-555-7703","bcarter503@fakemail.com","90025 Magnolia Rd","Broadway","NC","27505","Harnett","1948-07-09","1","0","2021-08-13 00:00:00",\N,"2026-04-21 16:33:26"
"110","Stephanie","Green","F","446-555-3150","stephaniegreen439@offlinemail.com","57555 Washington St","Angier","NC","27501","Harnett","1946-05-15","1","1","2025-02-04 00:00:00",\N,"2026-04-21 16:33:26"
"111","Michael","Hernandez","M","260-555-3160","mhernandez799@fakemail.com","56421 Jefferson St","Apex","NC","27502","Wake","1970-01-23","1","0","2019-10-21 00:00:00",\N,"2026-04-21 16:32:41"
"112","Lisa","Hill","F","208-555-1080","hill438@notinbox.net","38893 Circle Dr","Durham","NC","27701","Durham","1973-02-18","1","1","2019-04-10 00:00:00",\N,"2026-04-21 16:33:26"
"113","Daniel","James","M","320-555-9733","jamesdaniel474@offlinemail.com","38691 Laurel Rd","Durham","NC","27701","Durham","1981-05-05","1","0","2025-03-23 00:00:00",\N,"2026-04-21 16:32:41"
"114","David","Davis","M","342-555-2015","davis947@notinbox.net","19494 State St","Holly Springs","NC","27540","Wake","1960-02-20","1","1","2020-03-20 00:00:00",\N,"2026-04-21 16:32:41"
"115","Joseph","Garcia","M","412-555-2506","garciajoseph830@offlinemail.com","79329 Washington St","Raleigh","NC","27607","Wake","1954-09-15","0","0","2023-08-20 00:00:00","2024-09-26 00:00:00","2026-04-21 16:32:41"
"116","Robert","Lopez","M","391-555-6265","lopez239@fakeinbox.net","41907 State St","Raleigh","NC","27614","Wake","2003-03-10","1","0","2025-01-28 00:00:00",\N,"2026-04-21 16:32:41"
"117","Charlotte","Jones","F","280-555-3089","charlottej605@notinbox.net","3086 Shady Ln","Raleigh","NC","27601","Wake","1976-08-04","1","1","2021-09-21 00:00:00",\N,"2026-04-21 16:33:26"
"118","Christopher","Anderson","M","305-555-1417","canderson97@fakeinbox.net","86622 Shady Ln","Holly Springs","NC","27540","Wake","1981-01-28","0","1","2020-09-03 00:00:00","2023-11-16 00:00:00","2026-04-21 16:32:41"
"119","Jessica","Baker","F","449-555-2174","baker206@offlinemail.com","12969 Shady Ln","Raleigh","NC","27615","Wake","1995-05-27","1","0","2024-02-19 00:00:00",\N,"2026-04-21 16:33:26"
"120","John","Davis","M","380-555-8420","johndavis677@fakemail.com","70663 Laurel Rd","Cary","NC","27513","Wake","1954-06-26","1","1","2022-02-20 00:00:00",\N,"2026-04-21 16:32:41"
"121","Patricia","Martin","F","460-555-2847","martinpatricia687@fakemail.com","97932 Washington St","Cary","NC","27513","Wake","1995-12-11","1","0","2019-04-16 00:00:00",\N,"2026-04-21 16:33:26"
"122","Randy","Williams","M","397-555-5210","randyw875@nachomail.net","61390 Magnolia Rd","Raleigh","NC","27607","Wake","1946-03-13","1","0","2025-07-25 00:00:00",\N,"2026-04-21 16:32:41"
"123","Christopher","Brown","M","214-555-8660","christopherbrown499@offlinemail.com","78736 Central Ave","Broadway","NC","27505","Harnett","1957-03-25","1","0","2021-11-12 00:00:00",\N,"2026-04-21 16:32:41"
"124","Liam","Johnson","M","473-555-8357","liamjohnson979@offlinemail.com","97327 Cedar Ln","Sanford","NC","27330","Lee","1984-03-01","1","1","2020-11-28 00:00:00",\N,"2026-04-21 16:32:41"
"125","Randy","Kelly","M","338-555-2455","randykelly898@notinbox.net","95044 Cardinal Ave","Durham","NC","27701","Durham","2004-12-17","1","1","2019-12-13 00:00:00",\N,"2026-04-21 16:32:41"
"126","Stephanie","Bell","F","210-555-8230","bell269@fakeinbox.net","8140 Dogwood St","Durham","NC","27704","Durham","1953-09-10","0","1","2020-09-27 00:00:00","2024-02-03 00:00:00","2026-04-21 16:33:26"
"127","Elizabeth","Taylor","F","496-555-1806","elizabetht303@nachomail.net","89542 Hummingbird Dr","Raleigh","NC","27604","Wake","1950-12-29","1","1","2025-09-22 00:00:00",\N,"2026-04-21 16:33:26"
"128","Florence","Anderson","F","480-555-7478","andersonflorence572@fakeinbox.net","69539 Elm St","Erwin","NC","28339","Harnett","2001-09-19","0","1","2022-09-01 00:00:00","2023-10-15 00:00:00","2026-04-21 16:33:26"
"129","Florence","James","F","281-555-8841","florencej109@fakeinbox.net","71015 Maple Ave","Raleigh","NC","27601","Wake","1959-04-20","1","1","2021-11-27 00:00:00",\N,"2026-04-21 16:33:26"
"130","Mary","Green","F","263-555-4528","mary238@fakemail.com","49158 Pine St","Raleigh","NC","27616","Wake","1986-07-14","0","1","2024-11-06 00:00:00","2025-11-27 00:00:00","2026-04-21 16:33:26"
"131","Jessica","Miller","F","380-555-1944","jessica748@fakeinbox.net","8082 Washington St","Dunn","NC","28334","Harnett","1971-11-25","0","0","2022-09-12 00:00:00","2025-05-12 00:00:00","2026-04-21 16:33:26"
"132","Jason","Martinez","M","265-555-7661","jasonmartinez648@notinbox.net","6083 Magnolia Rd","Holly Springs","NC","27540","Wake","1991-01-07","0","1","2019-12-06 00:00:00","2023-02-26 00:00:00","2026-04-21 16:32:41"
"133","Susan","Miller","F","247-555-2551","susan319@fakemail.com","31682 Cedar Ln","Erwin","NC","28339","Harnett","1958-11-14","1","0","2021-10-22 00:00:00",\N,"2026-04-21 16:33:26"
